UTC time string, UTC time with nanoseconds integer, local time string, UTC time string, elapsed_time, UTC time integer, monotonic seconds, monotonic nanoseconds
2017-01-04T21:16:30.000157933Z, 20170104211630000157933, 2017-01-04T16:16:30.000157933-05:00, 2017-01-04T21:16:30.000157933Z, 6, 20170104211630, 99028, 476710987
2017-01-04T21:16:30.100064975Z, 20170104211630100064975, 2017-01-04T16:16:30.100064975-05:00, 2017-01-04T21:16:30.100064975Z, 6, 20170104211630, 99028, 576618127
2017-01-04T21:16:30.200077020Z, 20170104211630200077020, 2017-01-04T16:16:30.200077020-05:00, 2017-01-04T21:16:30.200077020Z, 6, 20170104211630, 99028, 676630443
2017-01-04T21:16:30.300121687Z, 20170104211630300121687, 2017-01-04T16:16:30.300121687-05:00, 2017-01-04T21:16:30.300121687Z, 6, 20170104211630, 99028, 776674698
2017-01-04T21:16:30.400065531Z, 20170104211630400065531, 2017-01-04T16:16:30.400065531-05:00, 2017-01-04T21:16:30.400065531Z, 6, 20170104211630, 99028, 876618556
2017-01-04T21:16:30.500118750Z, 20170104211630500118750, 2017-01-04T16:16:30.500118750-05:00, 2017-01-04T21:16:30.500118750Z, 6, 20170104211630, 99028, 976671864
2017-01-04T21:16:30.600120309Z, 20170104211630600120309, 2017-01-04T16:16:30.600120309-05:00, 2017-01-04T21:16:30.600120309Z, 6, 20170104211630, 99029, 76673571
2017-01-04T21:16:30.700093350Z, 20170104211630700093350, 2017-01-04T16:16:30.700093350-05:00, 2017-01-04T21:16:30.700093350Z, 6, 20170104211630, 99029, 176646473
2017-01-04T21:16:30.800122464Z, 20170104211630800122464, 2017-01-04T16:16:30.800122464-05:00, 2017-01-04T21:16:30.800122464Z, 6, 20170104211630, 99029, 276675656
2017-01-04T21:16:30.900123391Z, 20170104211630900123391, 2017-01-04T16:16:30.900123391-05:00, 2017-01-04T21:16:30.900123391Z, 6, 20170104211630, 99029, 376676343
2017-01-04T21:16:31.000146452Z, 20170104211631000146452, 2017-01-04T16:16:31.000146452-05:00, 2017-01-04T21:16:31.000146452Z, 7, 20170104211631, 99029, 476699469
2017-01-04T21:16:31.100072313Z, 20170104211631100072313, 2017-01-04T16:16:31.100072313-05:00, 2017-01-04T21:16:31.100072313Z, 7, 20170104211631, 99029, 576625267
2017-01-04T21:16:31.200138614Z, 20170104211631200138614, 2017-01-04T16:16:31.200138614-05:00, 2017-01-04T21:16:31.200138614Z, 7, 20170104211631, 99029, 676691955
2017-01-04T21:16:31.300067651Z, 20170104211631300067651, 2017-01-04T16:16:31.300067651-05:00, 2017-01-04T21:16:31.300067651Z, 7, 20170104211631, 99029, 776620772
2017-01-04T21:16:31.400147142Z, 20170104211631400147142, 2017-01-04T16:16:31.400147142-05:00, 2017-01-04T21:16:31.400147142Z, 7, 20170104211631, 99029, 876700443
2017-01-04T21:16:31.500149255Z, 20170104211631500149255, 2017-01-04T16:16:31.500149255-05:00, 2017-01-04T21:16:31.500149255Z, 7, 20170104211631, 99029, 976702579
2017-01-04T21:16:31.600155409Z, 20170104211631600155409, 2017-01-04T16:16:31.600155409-05:00, 2017-01-04T21:16:31.600155409Z, 7, 20170104211631, 99030, 76708561
2017-01-04T21:16:31.700125867Z, 20170104211631700125867, 2017-01-04T16:16:31.700125867-05:00, 2017-01-04T21:16:31.700125867Z, 7, 20170104211631, 99030, 176679059
2017-01-04T21:16:31.800150587Z, 20170104211631800150587, 2017-01-04T16:16:31.800150587-05:00, 2017-01-04T21:16:31.800150587Z, 7, 20170104211631, 99030, 276703781
2017-01-04T21:16:31.900071172Z, 20170104211631900071172, 2017-01-04T16:16:31.900071172-05:00, 2017-01-04T21:16:31.900071172Z, 7, 20170104211631, 99030, 376624259
2017-01-04T21:16:32.000059806Z, 20170104211632000059806, 2017-01-04T16:16:32.000059806-05:00, 2017-01-04T21:16:32.000059806Z, 8, 20170104211632, 99030, 476613361
2017-01-04T21:16:32.100064834Z, 20170104211632100064834, 2017-01-04T16:16:32.100064834-05:00, 2017-01-04T21:16:32.100064834Z, 8, 20170104211632, 99030, 576618091
2017-01-04T21:16:32.200115562Z, 20170104211632200115562, 2017-01-04T16:16:32.200115562-05:00, 2017-01-04T21:16:32.200115562Z, 8, 20170104211632, 99030, 676668913
2017-01-04T21:16:32.300061710Z, 20170104211632300061710, 2017-01-04T16:16:32.300061710-05:00, 2017-01-04T21:16:32.300061710Z, 8, 20170104211632, 99030, 776615192
2017-01-04T21:16:32.400067684Z, 20170104211632400067684, 2017-01-04T16:16:32.400067684-05:00, 2017-01-04T21:16:32.400067684Z, 8, 20170104211632, 99030, 876620873
2017-01-04T21:16:32.500065352Z, 20170104211632500065352, 2017-01-04T16:16:32.500065352-05:00, 2017-01-04T21:16:32.500065352Z, 8, 20170104211632, 99030, 976618501
2017-01-04T21:16:32.600089998Z, 20170104211632600089998, 2017-01-04T16:16:32.600089998-05:00, 2017-01-04T21:16:32.600089998Z, 8, 20170104211632, 99031, 76642957
